compression_start,compression_end,upload_start,upload_end,compression_duration,upload_duration,decompress-timestamp [UTC],decompress-id,decompress-operation_Name,decompress-success,decompress-resultCode,decompress-duration,decompress-operation_Id,decompress-cloud_RoleName,decompress-invocationId,aeneas-timestamp [UTC],aeneas-id,aeneas-operation_Name,aeneas-success,aeneas-resultCode,aeneas-duration,aeneas-operation_Id,aeneas-cloud_RoleName,aeneas-invocationId,total-processing-time,total-time
2023-07-18 14:46:05.150906,2023-07-18 14:46:05.264671,2023-07-18 14:46:07.775502,2023-07-18 14:46:08.417878,113.765,642.376,"7/18/2023, 2:46:10.582 PM",3c1f1cc759d2b077,BlobTriggerEventGrid,True,0,488.5893,bdb399f10b75181dc20b7baf7dcaf037,decompress-func,efa76a88-e00c-4340-82a2-cada459993f5,"7/18/2023, 2:46:12.320 PM",8d29c962ef24b344,AeneasFunction,True,0,2094.5743,d37c96ac76104826eb274147e2ee051a,aeneas-func,a48491b0-9972-4f1f-a826-3a668b2c0a73,2696.929,6752.837
2023-07-18 14:46:08.418066,2023-07-18 14:46:08.519096,2023-07-18 14:46:10.775243,2023-07-18 14:46:11.119570,101.03,344.327,"7/18/2023, 2:46:11.396 PM",3e611f3eeddeeed7,BlobTriggerEventGrid,True,0,221.0129,7603de374e34949d36be3a975b171880,decompress-func,5b98e0d0-8279-42de-99c5-b6515e7eaf36,"7/18/2023, 2:46:12.450 PM",e270609b3da3786d,AeneasFunction,True,0,2132.6413000000002,4e5279c4c20d80920696a11d7cddc073,aeneas-func,719cfbc9-0fa1-4d5c-b4d2-936f97527eef,2454.684,3908.428
2023-07-18 14:46:11.119715,2023-07-18 14:46:11.230933,2023-07-18 14:46:13.775525,2023-07-18 14:46:14.118175,111.218,342.65,"7/18/2023, 2:46:14.529 PM",e3566e3113026138,BlobTriggerEventGrid,True,0,296.6405,c4616cd251aab639dce2fdb639be6c8a,decompress-func,2f95ce30-603f-4e14-a0b3-88249d05e114,"7/18/2023, 2:46:22.608 PM",a22a23dfb9c978f6,AeneasFunction,True,0,3094.0806000000002,7ed4332efb938f47c09390efe7bcab70,aeneas-func,595c87ec-5b8e-495c-8c13-7b7fb945853a,3501.939,12037.774
2023-07-18 14:46:14.118322,2023-07-18 14:46:14.214328,2023-07-18 14:46:16.775551,2023-07-18 14:46:17.118102,96.006,342.551,"7/18/2023, 2:46:17.535 PM",47973268254d397a,BlobTriggerEventGrid,True,0,136.2222,57c38f8385bd462e6c0688185cc24063,decompress-func,888a411b-deb0-4b60-9261-b2cebf3c8ba9,"7/18/2023, 2:46:22.672 PM",62cd363e8d6d1092,AeneasFunction,True,0,3030.4054,d36ee515d0e5a5927461b0e1f80dd81a,aeneas-func,b648f45f-94fe-451d-8b81-a3ab7355fb16,3262.634,9022.86
2023-07-18 14:46:17.118290,2023-07-18 14:46:17.233666,2023-07-18 14:46:19.775544,2023-07-18 14:46:20.118010,115.376,342.466,"7/18/2023, 2:46:20.496 PM",6d1e47d24be96374,BlobTriggerEventGrid,True,0,192.8828,0ba32c0e4575163ac5de4ce667358713,decompress-func,e32ffb8a-95bb-4b46-b60d-a096ff60b59b,"7/18/2023, 2:46:22.787 PM",bf1f4070416a8efb,AeneasFunction,True,0,2970.4881,3d6d71524e3119ebd4dec6f2410f85fb,aeneas-func,9bdbfd1e-0864-4fe9-9d31-c9ddac2ff1ac,3278.747,6097.32
2023-07-18 14:46:20.118157,2023-07-18 14:46:20.228404,2023-07-18 14:46:22.775525,2023-07-18 14:46:23.118532,110.247,343.007,"7/18/2023, 2:46:23.487 PM",2c7d71c860d7f85e,BlobTriggerEventGrid,True,0,137.5058,f48031f743162fd2984677747eab2400,decompress-func,88016cab-eeae-4c6f-8bf6-6de7e83b1ccb,"7/18/2023, 2:46:32.876 PM",35be69f9423d0519,AeneasFunction,True,0,4071.7263000000003,4b29472bc8dca8451171a85a490d7d33,aeneas-func,c2debfe4-fc90-40c4-93ec-d8f58cc9b43e,4319.479,14282.448
2023-07-18 14:46:23.118677,2023-07-18 14:46:23.223058,2023-07-18 14:46:25.775535,2023-07-18 14:46:26.119105,104.381,343.57,"7/18/2023, 2:46:26.471 PM",c89a3c655c7c62e9,BlobTriggerEventGrid,True,0,126.3797,436189042060d2e894b663857dfc7457,decompress-func,60da1700-1435-4b8c-8299-a322c739a675,"7/18/2023, 2:46:32.956 PM",ce48274a3a37a806,AeneasFunction,True,0,4079.3752000000004,94ebaa184485a406120cbc735314427c,aeneas-func,fb3fda78-6765-400d-bbfd-a217356a7cfe,4310.136,11364.221
2023-07-18 14:46:26.119251,2023-07-18 14:46:26.234705,2023-07-18 14:46:28.775541,2023-07-18 14:46:29.118696,115.454,343.155,"7/18/2023, 2:46:29.519 PM",d476fc64e52a6bd5,BlobTriggerEventGrid,True,0,201.2366,7a2125d0f86150e4ad4e865592214990,decompress-func,bd4197d9-fe11-4b79-951c-1a36a0135b94,"7/18/2023, 2:46:33.013 PM",74e7af4de9d3270c,AeneasFunction,True,0,4042.8446000000004,95e696e8b0a22d83d556d26ff5836dfa,aeneas-func,ce9029d6-1865-4f64-96bd-73ec8e70d940,4359.535,8395.758
2023-07-18 14:46:29.118843,2023-07-18 14:46:29.242312,2023-07-18 14:46:31.775516,2023-07-18 14:46:32.117840,123.469,342.324,"7/18/2023, 2:46:32.558 PM",4c56026806e5d240,BlobTriggerEventGrid,True,0,131.1468,6a2af3707f2cbc80073a7631aec9cf13,decompress-func,c4868f70-648a-4007-bc14-baef95bf139b,"7/18/2023, 2:46:33.258 PM",ace574afbf387b8c,AeneasFunction,True,0,3796.2563,25287be0498f600a0bfecdca8e8f0b7f,aeneas-func,b38f1462-549b-4b73-8678-5344698972c3,4050.872,5402.209
2023-07-18 14:46:32.117989,2023-07-18 14:46:32.244159,2023-07-18 14:46:34.775537,2023-07-18 14:46:35.118168,126.17,342.631,"7/18/2023, 2:46:35.498 PM",c0e22d61453572d5,BlobTriggerEventGrid,True,0,177.7277,f4a6c7ab4d22b70158c2551caf1f1289,decompress-func,62930c96-5003-457a-8eaf-9cdf6e6233b4,"7/18/2023, 2:46:47.487 PM",b7a333e160dd6f04,AeneasFunction,True,0,1026.3822,6788467df93bec330744ff8fd5b779e0,aeneas-func,393a7c56-ccdc-4099-a0c1-f742e3c40340,1330.28,13864.015
2023-07-18 15:07:36.281231,2023-07-18 15:07:36.407088,2023-07-18 15:07:37.774356,2023-07-18 15:07:38.436422,125.857,662.066,"7/18/2023, 3:07:40.395 PM",8f05653c32301adc,BlobTriggerEventGrid,True,0,491.625,e3c955ac530674160bc7782642d3cb8e,decompress-func,320f6ab3-7d20-4d2b-977b-c4d8c20dc145,"7/18/2023, 3:07:48.412 PM",a7c65ff52c0c8e7d,AeneasFunction,True,0,1004.695,193228c98888a52874ad11853887c0a4,aeneas-func,91b9cbb1-7022-49cf-a44f-307ac5717664,1622.177,11768.196
2023-07-18 15:07:38.436554,2023-07-18 15:07:38.563483,2023-07-18 15:07:47.782202,2023-07-18 15:07:48.133455,126.929,351.253,"7/18/2023, 3:07:48.665 PM",9ce9e842922e0078,BlobTriggerEventGrid,True,0,189.0294,9a0dde3f89abab25df2cb810e533be39,decompress-func,3d528630-c745-4541-8f79-099a8e443519,"7/18/2023, 3:07:58.723 PM",ebd5f07b46fb2201,AeneasFunction,True,0,941.2231,cf58ac340b023c18285d6dda71649521,aeneas-func,3d3e335e-8b79-4512-8641-e1ba6f8a74bf,1257.182,12008.95
2023-07-18 15:07:48.133602,2023-07-18 15:07:48.242385,2023-07-18 15:07:57.780217,2023-07-18 15:07:58.145350,108.783,365.133,"7/18/2023, 3:07:58.539 PM",40b55e22e94a1fc3,BlobTriggerEventGrid,True,0,238.7496,43d6cce4781757f15f56df4198820903,decompress-func,193f0750-053a-49ef-a7a2-5b2a2d0d706c,"7/18/2023, 3:08:08.873 PM",9fae606b07d3582a,AeneasFunction,True,0,1692.0377,3dcfbef9965ec2901ebdabab0c844720,aeneas-func,a49c540b-be3f-46a7-9645-c7515d5593d3,2039.57,12893.604
2023-07-18 15:07:58.145495,2023-07-18 15:07:58.267613,2023-07-18 15:08:07.780198,2023-07-18 15:08:08.126633,122.118,346.435,"7/18/2023, 3:08:08.481 PM",00686af61d1499dc,BlobTriggerEventGrid,True,0,114.0977,0d8845a067f5da31a81edda4a8c94723,decompress-func,9132a607-453c-4c5c-9449-0f3d89caa922,"7/18/2023, 3:08:09.046 PM",b523f77a075cd403,AeneasFunction,True,0,1675.661,4b322ddf9e352744efda9813b456e41d,aeneas-func,d1944dc6-7e00-4241-9d9b-3fef0d1eacf0,1911.877,3063.581
2023-07-18 15:08:08.126778,2023-07-18 15:08:08.248349,2023-07-18 15:08:17.782522,2023-07-18 15:08:18.128651,121.571,346.129,"7/18/2023, 3:08:18.541 PM",9c19e476512f0356,BlobTriggerEventGrid,True,0,140.9319,0a52ed1197cdf85d614af21b356d77ed,decompress-func,7a0e48c4-1723-42d0-a59d-6708b1050b92,"7/18/2023, 3:08:19.157 PM",a1a1fe33ea760afe,AeneasFunction,True,0,979.4408000000001,6a113456fdeade0b3abc258efdc2d61a,aeneas-func,f6b453c3-2bc8-46cb-83cb-45927ccf0bda,1241.944,2475.49
2023-07-18 15:08:18.128796,2023-07-18 15:08:18.232306,2023-07-18 15:08:27.779360,2023-07-18 15:08:28.126170,103.51,346.81,"7/18/2023, 3:08:28.483 PM",4299fc467858c000,BlobTriggerEventGrid,True,0,120.5918,5f6a12b83b1a51d790d3ba3d52dae6c2,decompress-func,329a92c7-99b8-4e5d-a538-d537bc74ff09,"7/18/2023, 3:08:29.414 PM",544fc102779467a0,AeneasFunction,True,0,956.907,f364d6b5dbf2bb673514d9459051fe65,aeneas-func,c0d8a73a-9b1e-4425-b0e6-dc75a3a3f077,1181.009,2695.057
2023-07-18 15:08:28.126318,2023-07-18 15:08:28.241611,2023-07-18 15:08:37.782528,2023-07-18 15:08:38.136798,115.293,354.27,"7/18/2023, 3:08:38.504 PM",68fcaf5aeb6de53b,BlobTriggerEventGrid,True,0,150.0882,344570a8719301403196582e3784a9c9,decompress-func,8a8d26a2-6e68-471e-9433-4f9c1eb57f00,"7/18/2023, 3:08:39.743 PM",c0f665784e6e9879,AeneasFunction,True,0,963.6659000000001,9c1a55a440231accfb68dd074626e711,aeneas-func,f872b8e5-63c9-455e-9eed-51ba7b8e958d,1229.047,3039.431
